lncRNA,Index
RP11-128M1.1,313
AP006216.10,314
AP001189.4,315
PSMD5-AS1,316
RP11-388C12.1,317
LINC00348,318
CTD-2284J15.1,319
LINC00454,320
RP11-443A13.5,321
MAGI2-AS2,322
AP000235.2,323
LINC00658,324
PRKG1-AS1,325
AL592494.5,326
LBX1-AS1,327
RP11-157D23.1,328
LINC01153,329
AC092535.3,330
MIR663A,331
CTD-2184C24.2,332
RP11-445L13__B.3,333
AC087393.1,334
LINC00845,335
SMIM2-AS1,336
IGFBP7-AS1,337
PCGEM1,338
LINC00310,339
RP11-169D4.1,340
CCDC148-AS1,341
RP11-406A20.4,342
AC147651.4,343
RP1-28O10.1,344
RP11-315O6.1,345
RP4-753D4.2,346
SOX21-AS1,347
RP11-179A16.1,348
CLYBL-AS2,349
LINC00355,350
AC004906.3,351
RP11-102C16.3,352
RP11-439E19.3,353
RMST,354
RP11-350G8.5,355
RP11-43N5.1,356
RP11-383C5.3,357
RP11-12L8.1,358
LINC00507,359
AC105339.1,360
RP11-771K4.1,361
AL022341.3,362
AP000251.3,363
HCG11,364
RP11-132M7.3,365
RP11-251M1.1,366
LINC00687,367
RP11-392O17.1,368
RP11-550P17.5,369
HOTAIR,370
RP11-7O11.3,371
LINC00954,372
RP11-609L23.1,373
RP11-157P1.5,374
AC104653.1,375
RP4-764O22.2,376
MLK7-AS1,377
RP11-362A1.1,378
AC114752.3,379
RP11-245J24.1,380
RP11-406H4.1,381
RP11-260O18.1,382
RP11-339A11.2,383
CCDC26,384
EPHA1-AS1,385
LINC00382,386
LINC00879,387
LINC00242,388
TTTY10,389
IGSF11-AS1,390
LINC00710,391
LINC00459,392
MCHR2-AS1,393
HYI-AS1,394
RP11-460N16.1,395
RP11-347D21.4,396
AF064858.7,397
AC093627.10,398
RP11-245M24.1,399
RP5-827L5.1,400
PRAC2,401
HOXA11-AS,402
RP11-639B1.1,403
LINC00877,404
RP11-451G4.1,405
EMX2OS,406
AC064852.4,407
PTPRG-AS1,408
HHIP-AS1,409
AC104695.3,410
TOB1-AS1,411
CTC-340A15.2,412
RP4-613B23.1,413
CTD-3080P12.3,414
TMEM254-AS1,415
HOXB-AS1,416
NFE4,417
MIRLET7DHG,418
RP11-18H7.1,419
RP11-1191J2.2,420
AL022476.2,421
LINC00882,422
RP4-705O1.1,423
AC004538.3,424
SOX2-OT,425
AC092667.2,426
USP3-AS1,427
ERVMER61-1,428
CTD-2632K10.1,429
RP11-162I7.1,430
LINC00276,431
PROX1-AS1,432
RP11-422J15.1,433
LINC00880,434
RP11-475A13.2,435
FLNB-AS1,436
RP4-738P15.1,437
RP11-154D17.1,438
RP11-65D17.1,439
IQCH-AS1,440
RP11-701I24.3,441
RP6-109B7.2,442
RP11-540A21.2,443
RP11-257I14.1,444
RP11-346D6.6,445
CTD-2213F21.2,446
RP11-400N9.1,447
CTD-2012K14.7,448
AC006552.1,449
LINC00682,450
RP11-8L2.1,451
RP11-796E2.4,452
AC107622.1,453
RP11-315F22.1,454
RP11-532F12.5,455
RP11-1007O24.2,456
RP11-88H9.2,457
RP11-346I3.4,458
AC018470.4,459
CTD-3203P2.1,460
RP11-161D15.1,461
RP11-386B13.3,462
RPS6KA2-AS1,463
RP11-673E11.2,464
LINC00968,465
RP11-1149O23.3,466
LL0XNC01-116E7.2,467
RP11-669N7.3,468
RGMB-AS1,469
RP11-61A14.4,470
RP11-182J23.1,471
RP11-92G12.3,472
RP11-400D2.2,473
PHKA1-AS1,474
RP11-557H15.3,475
LINC00415,476
RP11-506N2.1,477
RP11-637A17.2,478
LINC01104,479
CARS-AS1,480
RP3-417L20.4,481
RAP2C-AS1,482
CPEB2-AS1,483
RP11-302L19.1,484
CTB-127C13.1,485
DAOA-AS1,486
RP11-425D10.10,487
AC016910.1,488
RP11-48B3.4,489
RP11-485M7.3,490
DPH6-AS1,491
RP4-794H19.1,492
RP11-472K22.1,493
CTD-2526A2.2,494
PSMD6-AS2,495
LINC00290,496
RP11-666I19.2,497
RP5-1031D4.2,498
AC084125.4,499
LA16c-313D11.9,500
RP11-1114A5.4,501
LINC00616,502
RP11-56L13.1,503
RP4-777D9.2,504
RP11-717H13.1,505
RP5-896L10.1,506
LINC00504,507
RP4-561L24.3,508
RP11-586K2.1,509
RP4-665N4.4,510
FGF10-AS1,511
CTD-3064M3.1,512
RP11-55K13.1,513
OTX2-AS1,514
LINC00327,515
RP11-768F21.1,516
AC011899.9,517
LINC01085,518
RP5-1069C8.2,519
RP11-758M4.4,520
ZFY-AS1,521
LINC00892,522
LINC01007,523
RP11-375I20.6,524
KB-1000E4.2,525
LINC00642,526
CTB-113P19.1,527
RP11-266L9.5,528
RP11-152L20.3,529
CTD-3028N15.1,530
CTD-2336O2.1,531
RP11-510D19.1,532
FAM53B-AS1,533
CTD-2275D24.2,534
RP11-170N11.1,535
LINC00543,536
RP11-575F12.1,537
SMAD1-AS2,538
RP5-865N13.1,539
RP11-340A13.1,540
LINC01091,541
RP11-547D24.1,542
RP11-500B12.1,543
LINC01122,544
RP11-253M7.1,545
RP11-95M5.1,546
LINC00656,547
RP11-476D10.1,548
LINC00536,549
AC103563.8,550
INTS6-AS1,551
LINC00299,552
RP11-496I9.1,553
RP11-250B2.3,554
RP11-354E11.2,555
RP11-143A12.3,556
FZD10-AS1,557
AP000475.2,558
CTA-992D9.6,559
RP11-574H6.1,560
RP11-364P22.1,561
CTC-471C19.1,562
OVOL1-AS1,563
RP11-324J3.1,564
RP11-700N1.1,565
RP11-19O2.2,566
RP11-308N19.1,567
ZNF295-AS1,568
CTD-3126B10.1,569
CTC-493L21.1,570
RP11-125P18.1,571
RP11-440I14.2,572
RP11-756P10.2,573
RPL34-AS1,574
RP11-486L19.2,575
RP11-783K16.14,576
MED14-AS1,577
RP11-19D2.2,578
CHL1-AS1,579
RP11-236P13.1,580
RP11-63A11.1,581
RP11-324L3.1,582
RP11-447B18.1,583
RP11-79E3.3,584
FAM170B-AS1,585
RP11-299H22.6,586
RP11-61G23.1,587
RP3-400B16.1,588
DCTN1-AS1,589
RP11-526A4.1,590
AC140542.2,591
MIR155HG,592
RP11-114G22.1,593
CTA-407F11.8,594
RP11-96B5.4,595
CTB-22K21.2,596
RP11-452H21.4,597
RP11-240A16.1,598
RP11-347D21.1,599
RP5-1166F10.1,600
RP11-360A18.2,601
RP11-171N4.1,602
RP1-60O19.1,603
LINC00919,604
RP11-39H13.1,605
AC093590.1,606
FAM83C-AS1,607
MALAT1,608
RP11-761E20.1,609
RP11-290L1.2,610
RP11-203B7.2,611
RP11-485G7.6,612
AC090627.1,613
CTD-2291D10.2,614
UBA6-AS1,615
HOXA10-AS,616
IQCF5-AS1,617
RP5-1073O3.7,618
RP11-716D16.1,619
AC008703.1,620
RP11-231K24.2,621
MEG8,622
RP11-653G8.2,623
AC145110.1,624
AC116614.1,625
RP11-284F21.8,626
RP6-91H8.1,627
AC009299.2,628
CTC-523E23.1,629
RP11-454K7.3,630
RP11-513O17.3,631
RP11-561E1.1,632
RP11-434E6.2,633
LA16c-381G6.1,634
LINC00837,635
RP11-600K15.1,636
AC023115.2,637
AC144831.1,638
MACROD2-AS1,639
LINC00635,640
AC109642.1,641
BCAR4,642
RP11-51M18.1,643
CTB-43E15.1,644
RP11-690C23.2,645
RP11-960B9.2,646
LINC00051,647
RP11-400N13.1,648
RP11-334C17.5,649
RP11-21C4.1,650
RP11-313C4.1,651
AC000099.1,652
LINC00479,653
CTB-12O2.1,654
AC012361.1,655
RP11-478P10.1,656
RP11-290H9.4,657
RP11-707P20.1,658
RP4-742J24.2,659
HOXA-AS3,660
RP11-144L1.4,661
RP11-572M11.3,662
RP11-314O13.1,663
LINC00347,664
RP11-489D6.2,665
CTD-2210P24.1,666
RP11-88I21.2,667
RP11-297L17.2,668
AC068858.1,669
RP11-778J15.1,670
RP11-430B1.2,671
LINC00529,672
RP11-945A11.2,673
RP11-303E16.7,674
RP11-65M17.3,675
RP11-165P7.1,676
RP11-326C3.2,677
RP11-1069G10.2,678
RP11-365O16.6,679
RP11-1103G16.1,680
LINC01056,681
RP11-448P19.1,682
RP11-337C18.8,683
AC090505.6,684
TBX5-AS1,685
LINC00851,686
AF067845.1,687
RP11-214L19.1,688
RP11-540K16.1,689
CTD-2506J14.1,690
RP11-696N14.1,691
AC107070.1,692
RP11-502N13.2,693
RP11-183M13.1,694
CECR7,695
RP11-356I2.4,696
RP11-428C6.2,697
CTD-2024I7.13,698
AC007386.2,699
RP11-363G15.2,700
RP13-977J11.2,701
RP11-283I3.2,702
AP000662.4,703
RP11-17G12.3,704
AC010980.2,705
RP11-403N16.3,706
RP11-783K16.13,707
RP11-450K4.1,708
TMPO-AS1,709
RP11-983P16.4,710
RP11-624J12.1,711
CTD-2643K12.3,712
AP001046.5,713
RP11-542G1.3,714
RP11-863H1.1,715
SPATA3-AS1,716
RP11-217B1.2,717
RP11-106M3.3,718
RP11-630C16.1,719
RP11-317P15.4,720
CASC18,721
LINC00558,722
RP11-644F5.11,723
FAM13A-AS1,724
RP11-508O18.1,725
RP11-781A6.1,726
CADM2-AS1,727
LINC00485,728
RP11-38F22.1,729
RP11-1070N10.4,730
RP13-735L24.1,731
CDKN2B-AS1,732
RP11-22P6.3,733
RP11-661P17.1,734
RP11-458K10.2,735
RP11-112J1.2,736
EGFLAM-AS2,737
RP5-1021I20.2,738
RP11-369C8.1,739
RP11-59E19.1,740
WWTR1-AS1,741
RP11-272D12.1,742
RP11-661G16.2,743
RP11-331K15.1,744
LIFR-AS1,745
RP11-294O2.2,746
RP11-356K23.1,747
SNAI3-AS1,748
ZBTB20-AS1,749
RP5-1021I20.1,750
RP11-709D24.6,751
LINC00559,752
RP11-457K10.1,753
LINC00639,754
LINC00648,755
AC108488.4,756
LINC00901,757
RP11-705O24.1,758
RBFADN,759
CTD-2647E9.3,760
CTB-78F1.1,761
CTD-2071N1.1,762
RP11-497K21.1,763
CTD-2083E4.4,764
LINC00928,765
RP11-298D21.2,766
RP11-46A10.5,767
RP11-21M24.2,768
RP11-355N15.1,769
RP11-102L12.2,770
RP11-807H7.1,771
CAPN10-AS1,772
FOXP1-AS1,773
RP11-529K1.2,774
LINC00557,775
RP11-1398P2.1,776
RP1-58B11.1,777
RP11-445H22.4,778
ALKBH3-AS1,779
RP11-700H6.1,780
AC009120.4,781
RP11-296I10.3,782
RP11-708J19.1,783
RP11-1078H9.6,784
SPTY2D1-AS1,785
CTD-2194D22.2,786
RP1-167G20.1,787
RP11-669C19.1,788
RP11-945C19.1,789
RP11-308D13.3,790
CTD-2536I1.1,791
RP11-760D2.11,792
RP11-218F4.1,793
RP11-254F7.1,794
RP11-355E10.1,795
LOXL1-AS1,796
RP11-325N19.3,797
RP11-320N7.2,798
RP11-215H22.1,799
RP11-626G11.1,800
RP11-59E19.4,801
RP11-568N6.1,802
RP11-352B15.2,803
LINC00556,804
CSTF3-AS1,805
CTA-331P3.1,806
RP11-209D14.2,807
RP3-333B15.4,808
RP11-21L23.3,809
CTC-276P9.1,810
RP11-24I21.1,811
PAN3-AS1,812
NTRK3-AS1,813
CTC-384G19.1,814
RP11-18F14.1,815
CTD-2339F6.1,816
CTD-2291D10.1,817
RP11-219B4.3,818
RP11-166P13.4,819
RP11-504A18.1,820
RP11-186F10.2,821
RP11-1080G15.1,822
RP11-515O17.3,823
RP11-401P9.5,824
KB-1568E2.1,825
KB-1460A1.5,826
RP3-406A7.7,827
RP11-44F14.8,828
DLGAP1-AS2,829
RP11-775C24.3,830
CTD-3088G3.6,831
RP1-149C7.1,832
LINC00514,833
RP11-510C10.4,834
CTD-2647L4.1,835
RP1-39J2.1,836
RP11-304C12.3,837
RP11-483I13.5,838
LINC00922,839
AC009166.5,840
RP11-1E4.1,841
RP11-84C10.4,842
RP11-353N14.2,843
RP11-61A14.1,844
RP11-809F4.3,845
RP11-713M6.2,846
LINC00644,847
RP11-153K16.2,848
AC105760.3,849
LINC00029,850
MAGI1,851
LINC00486,852
GATM,853
